X,Y,Index_,premisetype
-79.4112549,43.6457481,4304,Commercial
-79.4441757,43.6672173,4606,Commercial
-79.296936,43.7013321,4607,Commercial
-79.5495529,43.7598152,4608,Commercial
-79.4115677,43.7639999,4612,Commercial
-79.42659,43.651516,4623,Commercial
-79.2221069,43.7424889,4626,Commercial
-79.3799744,43.6540642,4630,Commercial
-79.3799744,43.6540642,4631,Commercial
-79.3799744,43.6540642,4632,Commercial
-79.3799744,43.6540642,4633,Commercial
-79.3721924,43.6491318,4638,Commercial
-79.3721924,43.6491318,4639,Commercial
-79.4700851,43.7872849,4644,Commercial
-79.3834229,43.6621399,4648,Commercial
-79.4427948,43.6973038,4655,Commercial
-79.3302231,43.6632423,4656,Commercial
-79.3302231,43.6632423,4657,Commercial
-79.3745651,43.6570702,4663,Commercial
-79.3506165,43.6430931,4667,Commercial
-79.3756638,43.6568222,4675,Commercial
-79.3756638,43.6568222,4676,Commercial
-79.3837662,43.6557198,4679,Commercial
